millis;pwm fill factor;sensor distance in mm
1008;1;255
1022;0;255
1036;0;255
1049;0;255
1063;0;255
1079;0;255
1092;0;255
1105;0;255
1120;0;255
1133;0;255
1146;0;255
1161;0;255
1174;0;255
1186;0;255
1201;0;255
1214;0;255
1227;0;255
1242;0;255
1255;0;255
1268;0;255
1282;0;255
1296;0;255
1309;0;255
1323;0;255
1337;0;255
1350;0;255
1363;0;255
1377;0;255
1391;0;255
1404;0;255
1418;0;255
1432;0;255
1445;0;255
1459;0;255
1472;0;255
1486;0;255
1500;0;255
1513;0;255
1527;0;255
1541;0;255
1554;0;255
1567;0;255
1582;0;255
1595;0;255
1608;0;255
1623;0;255
1636;0;255
1649;0;255
1662;0;255
1677;0;255
1690;0;255
1703;0;255
1718;1;255
1731;1;255
1744;1;255
1758;1;255
1772;1;255
1785;1;255
1799;1;255
1813;1;255
1826;1;255
1840;1;255
1853;1;255
1867;1;255
1881;1;255
1894;1;255
1908;1;255
1922;1;255
1935;1;255
1948;1;255
1963;1;255
1975;1;255
1988;1;255
2001;1;255
2015;1;255
2028;1;255
2041;1;255
2054;1;255
2067;1;255
2080;1;255
2093;1;255
2106;1;255
2118;1;255
2131;1;255
2145;1;255
2157;1;255
2170;1;255
2184;1;255
2196;1;255
2209;1;255
2222;1;255
2235;1;255
2248;1;255
2260;1;255
2274;1;255
2287;1;255
2299;1;255
2313;1;255
2325;1;255
2338;1;255
2352;1;194
2364;1;187
2377;1;180
2390;1;173
2403;1;161
2416;0;158
2428;0;148
2441;0;141
2453;0;136
2465;0;126
2478;0;120
2490;0;115
2502;0;108
2514;0;107
2527;0;101
2539;0;97
2551;0;92
2564;0;93
2575;0;94
2586;0;91
2597;0;92
2610;0;91
2621;0;93
2632;0;96
2644;0;99
2657;0;102
2669;0;106
2681;0;110
2694;0;114
2706;0;125
2718;0;131
2731;0;143
2743;0;148
2755;0;156
2767;0;171
2781;0;182
2793;0;194
2806;0;255
2820;0;255
2832;0;255
2845;0;255 
2857;0;255
2871;0;255
2884;0;255
2898;0;255
2912;0;255
2925;0;255
2939;0;255
2953;0;255
2966;0;255
2979;0;255
2994;0;255
3007;0;255
3020;0;255 
3035;0;255
3048;0;255
3061;0;255
3075;0;255
3089;0;255
3102;0;255
3116;1;255
3130;1;255
3143;1;255
3156;1;255
3170;1;255
3184;1;255
3197;1;255
3211;1;255
3225;1;255
3238;1;255
3252;1;255
3265;1;255
3279;1;255
3293;1;255
3306;1;255
3319;1;255
3334;1;255
3347;1;255
3360;1;255
3375;1;255
3388;1;255
3401;1;255
3415;1;255
3427;1;255
3440;1;255
3453;1;255
3466;1;255
3479;1;255
3492;1;255
3505;1;255
3518;1;255
3530;1;255
3544;1;255
3557;1;255
3569;1;255
3582;1;255 
3595;1;255
3608;1;255
3621;1;255
3634;1;255
3647;1;255
3660;1;255
3673;1;189
3686;1;184
3698;1;176
3712;1;171
3725;1;160
3737;1;153
3750;1;143
3763;1;136
3775;1;124
3787;1;114
3800;1;109
3812;0;102
3824;0;93
3835;0;82
3847;0;75
3858;0;65
3870;0;59
3881;0;52
3892;0;49
3903;0;40
3914;0;34
3924;0;29
3936;0;21
3946;0;23
3957;0;24
3968;0;26
3979;0;27
3990;0;27
4000;0;30
4012;0;34
4022;0;38
4033;0;41
4043;0;44
4055;0;49
4066;0;55
4076;0;59
4087;0;60
4100;0;70
4111;0;77
4122;0;85
4133;0;94
4146;0;101
4158;0;114
4170;0;124
4182;0;137
4194;0;148
4206;0;164
4219;0;179
4233;0;193
4245;0;255
4258;0;255
4271;0;255
4284;0;255
4297;0;255
4310;0;255
4324;0;255
4337;0;255
4350;0;255
4366;0;255
4379;0;255
4392;0;255
4406;0;255
4419;0;255
4433;0;255
4447;0;255
4460;0;255
4473;0;255
4488;0;255
4501;0;255
4514;1;255
4529;1;255
4542;1;255
4555;1;255
4569;1;255
4583;1;255
4596;1;255
4610;1;255
4623;1;255
4636;1;255
4649;1;255
4662;1;255
4675;1;255
4688;1;255
4701;1;255
4714;1;255
4727;1;255
4741;1;255
4753;1;255
4766;1;255
4780;1;255
4792;1;255
4805;1;255
4817;1;255
4831;1;255
4844;1;255
4856;1;255
4870;1;255
4883;1;255
4895;1;255
4909;1;255
4921;1;255
4934;1;255
4947;1;255
4960;1;255
4973;1;255
4986;1;255
4999;1;255
5012;1;255
5024;1;255
5038;1;255
5051;1;255
5063;1;191
5076;1;186
5089;1;174
5102;1;168
5115;1;160
5128;1;152
5140;1;143 
5152;1;132
5164;1;124
5176;1;113
5188;1;105
5200;1;98
5213;0;87
5225;0;80
5236;0;70
5248;0;62
5259;0;56
5270;0;49
5280;0;42
5292;0;32
5303;0;25
5313;0;22
5324;0;25
5335;0;26
5346;0;26
5356;0;31
5367;0;31
5379;0;32
5389;0;35
5400;0;38
5410;0;41
5422;0;43
5433;0;47
5443;0;49
5454;0;54
5465;0;61
5476;0;68
5487;0;71
5498;0;77
5511;0;86
5522;0;95
5533;0;105
5545;0;113
5558;0;127
5570;0;137
5582;0;154
5595;0;165
5607;0;177
5619;0;192
5633;0;255
5646;0;255
5658;0;255
5671;0;255
5684;0;255
5697;0;255
5710;0;255
5724;0;255
5737;0;255
5749;0;255
5763;0;255
5775;0;255
5788;0;255
5801;0;255
5815;0;255
5828;0;255
5842;0;255
5856;0;255
5869;0;255
5882;0;255
5897;0;255
5910;0;255
5923;1;255
5938;1;255
5951;1;255
5964;1;255
5978;1;255
5992;1;255
6005;1;255
6019;1;255
6032;1;255
6045;1;255
6059;1;255
6071;1;255
6085;1;255
6097;1;255
6111;1;255
6124;1;255
6136;1;255
6150;1;255
6162;1;255
6175;1;255 
6189;1;255
6201;1;255
6214;1;255
6226;1;255
6240;1;255
6253;1;255
6265;1;255
6279;1;255
6292;1;255
6304;1;255
6318;1;255
6330;1;255
6343;1;255
6356;1;255
6369;1;255
6382;1;255
6394;1;255
6408;1;255
6421;1;255
6433;1;255
6447;1;191
6460;1;183
6472;1;178
6486;1;166
6498;1;161
6511;1;152
6523;1;145
6536;1;137
6548;1;126
6560;1;115
6573;1;103
6585;1;96
6597;1;89
6608;1;77
6620;0;69
6631;0;59 
6643;0;53
6653;0;43
6665;0;36
6675;0;24
6686;0;23
6697;0;25
6708;0;26
6719;0;28
6729;0;30
6740;0;29
6751;0;30
6762;0;33
6773;0;33
6784;0;35
6795;0;39
6805;0;39
6816;0;43
6827;0;45
6838;0;51
6849;0;54
6859;0;57
6871;0;63
6883;0;68
6894;0;76
6905;0;84
6917;0;92
6929;0;102
6940;0;107
6952;0;117
6965;0;128
6977;0;142
6989;0;153
7002;0;166
7014;0;180
7027;0;194
7040;0;255
7053;0;255
7066;0;255
7078;0;255
7092;0;255
7105;0;255
7117;0;255
7131;0;255
7143;0;255
7156;0;255
7170;0;255
7182;0;255
7195;0;255 
7208;0;255
7221;0;255
7234;0;255
7248;0;255
7262;0;255
7275;0;255
7289;0;255
7303;0;255
7316;1;255
7329;1;255
7344;1;255
7357;1;255
7370;1;255 
7385;1;255
7397;1;255
7410;1;255
7425;1;255
7437;1;255
7450;1;255
7463;1;255
7477;1;255
7490;1;255
7502;1;255
7516;1;255
7528;1;255
7541;1;255
7555;1;255
7570;1;255
7583;1;255
7596;1;255
7609;1;255
7621;1;255
7634;1;255
7648;1;255
7660;1;255
7673;1;255
7686;1;255
7699;1;255
7712;1;255
7725;1;255
7738;1;255
7751;1;255
7763;1;255
7777;1;255
7789;1;255
7802;1;255
7816;1;255
7828;1;255
7841;1;255
7854;1;188
7867;1;185
7880;1;176
7892;1;169
7906;1;159
7919;1;150
7930;1;144
7943;1;134
7955;1;123
7967;1;114
7980;1;104
7992;1;97
8004;1;89
8015;0;80 
8028;0;70
8039;0;63
8050;0;55
8061;0;49
8072;0;39
8083;0;32
8093;0;25
8104;0;24
8116;0;24
8126;0;28
8137;0;30
8147;0;30
8159;0;32
8169;0;35
8180;0;37 
8192;0;38
8202;0;40
8213;0;43
8223;0;47
8235;0;50
8246;0;56
8256;0;57
8267;0;60
8279;0;65
8290;0;72
8301;0;80
8313;0;88
8325;0;97
8336;0;105
8347;0;112
8359;0;123
8372;0;134
8384;0;152
8396;0;161
8410;0;175
8422;0;188
8435;0;255
8449;0;255
8461;0;255
8474;0;255
8487;0;255
8500;0;255
8513;0;255
8525;0;255
8540;0;255
8552;0;255
8565;0;255
8579;0;255
8592;0;255
8604;0;255
8619;0;255
8632;0;255
8645;0;255
8658;0;255
8672;0;255
8685;0;255
8699;0;255
8712;1;255
8726;1;255
8739;1;255 
8753;1;255
8765;1;255
8778;1;255
8791;1;255
8805;1;255
8817;1;255
8832;1;255
8844;1;255
8857;1;255
8869;1;255
8883;1;255
8896;1;255
8908;1;255
8923;1;255
8935;1;255
8948;1;255
8961;1;255
8974;1;255
8987;1;255
8999;1;255
9013;1;255
9026;1;255
9038;1;255
9052;1;255
9064;1;255
9077;1;255
9091;1;255
9103;1;255
9116;1;255 
9129;1;255
9142;1;255
9155;1;255
9167;1;255
9181;1;255
9194;1;255
9206;1;255
9220;1;255
9232;1;185
9245;1;179
9259;1;170
9271;1;162
9284;1;153
9296;1;144
9309;1;135
9321;1;122
9333;1;113
9346;1;101
9358;1;92
9369;1;83
9380;1;71
9392;1;63 
9404;1;56
9414;0;44
9425;0;31
9436;0;20
9447;0;20
9458;0;24
9468;0;24
9480;0;22
9490;0;23
9501;0;24
9511;0;25
9523;0;22
9534;0;25
9544;0;25
9555;0;26
9566;0;28
9577;0;29
9587;0;34
9598;0;37
9610;0;39
9620;0;44
9631;0;46
9641;0;51
9653;0;54
9663;0;58
9674;0;64
9686;0;69
9698;0;77
9709;0;85
9720;0;92
9732;0;102 
9744;0;111
9756;0;120
9767;0;133
9780;0;145
9792;0;156
9804;0;170
9818;0;184
9831;0;255
9843;0;255
9857;0;255
9869;0;255
9882;0;255
9895;0;255
9908;0;255
9921;0;255
9934;0;255
9948;0;255
9960;0;255
9973;0;255
9987;0;255
9999;0;255
10012;0;255
10025;0;255
10040;0;255
10053;0;255
10066;0;255
10081;0;255
10094;0;255
10107;0;255
10122;1;255
10134;1;255
10148;1;255
10162;1;255
10175;1;255
10187;1;255
10201;1;255
10214;1;255
10226;1;255
10240;1;255
10253;1;255
10266;1;255
10279;1;255
10292;1;255
10306;1;255
10319;1;255
10333;1;255
10345;1;255
10358;1;255
10372;1;255
10384;1;255
10397;1;255
10411;1;255
10423;1;255
10436;1;255
10449;1;255
10462;1;255
10475;1;255
10488;1;255
10501;1;255
10514;1;255
10527;1;255
10540;1;255
10553;1;255
10566;1;255
10578;1;255
10592;1;255
10605;1;255
10617;1;255
10631;1;255
10644;1;188
10656;1;178
