millis;pwm fill factor;sensor distance in mm
1008;0.00;255
1015;0.70;millis;pwm fill factor;sensor distance in mm
1008;0.00;255
1021;0.70;255
1036;0.70;255
1049;0.70;255
1063;0.70;255
1077;0.70;255
1091;0.70;255
1104;0.70;255
1119;0.70;255
1132;0.70;255
1146;0.70;255
1160;0.70;255
1174;0.70;255
1187;0.70;255
1201;0.70;255
1214;0.70;255
1228;0.70;255
1242;0.70;255
1256;0.70;255
1269;0.70;255
1284;0.70;255
1297;0.70;255
1310;0.70;255
1324;0.70;255
1338;0.70;255
1351;0.70;255
1366;0.70;255
1379;0.70;255
1393;0.70;255
1406;0.70;255
1421;0.70;255
1434;0.70;255
1447;0.70;255
1461;0.70;255
1474;0.70;255
1487;0.70;255
1502;0.70;255
1514;0.70;255
1528;0.70;255
1542;0.70;255
1555;0.70;255
1567;0.70;255
1581;0.70;255
1595;0.70;255
1608;0.70;255
1622;0.70;255
1635;0.70;255
1648;0.70;255
1661;0.70;255
1675;0.70;255
1689;0.70;255
1702;0.70;255
1716;0.70;255
1729;0.70;255
1742;0.70;255
1756;0.70;255
1769;0.70;255
1782;0.70;255
1796;0.70;255
1808;0.70;255
1822;0.70;255
1836;0.70;255
1849;0.70;255
1861;0.70;255
1874;0.70;255
1888;0.70;255
1901;0.70;255
1914;0.70;255
1928;0.70;255
1940;0.70;255
1953;0.70;255
1967;0.70;255
1980;0.70;255
1993;0.70;255
2007;0.70;255
2019;0.70;255
2032;0.70;255
2045;0.70;255
2059;0.70;255
2072;0.70;255
2085;0.70;255
2098;0.70;255
2111;0.70;255
2124;0.70;255
2138;0.70;255
2151;0.70;255
2164;0.70;255
2177;0.70;255
2190;0.70;255
2203;0.70;255
2216;0.70;255
2230;0.70;255
2243;0.70;255
2255;0.70;255
2269;0.70;255
2282;0.70;255
2295;0.70;255
2309;0.70;255
2322;0.70;255
2334;0.70;255
2348;0.70;255
2361;0.70;255
2374;0.70;255
2387;0.70;255 
2401;0.70;255
2413;0.70;255
