oscillation with 500ms/7ms timer interrupts, pwm fills 127 and 170, starting after 1s in pwm 220

millis;pwm fill factor;sensor distance in mm
1008;0.00;78
1020;0.69;71
1032;0.69;65
1044;0.69;60
1055;0.69;54
1068;0.50;46
1078;0.50;41
1089;0.50;33
1100;0.50;28
1112;0.50;20
1122;0.50;22
1133;0.50;22
1144;0.50;22
1156;0.50;26
1167;0.50;24
1177;0.50;24
1188;0.50;25
1200;0.50;26
1211;0.50;23
1221;0.50;23
1232;0.50;21
1244;0.50;22
1255;0.50;20 
1266;0.50;23
1276;0.50;22
1288;0.50;20
1299;0.50;22
1312;0.50;23
1323;0.50;22
1334;0.50;22
1345;0.50;22
1356;0.50;23
1368;0.50;22
1378;0.50;21
1389;0.50;24
1400;0.50;24
1412;0.50;24
1422;0.50;26
1433;0.50;26
1444;0.50;26
1456;0.50;29 
1467;0.50;27
1477;0.50;28
1488;0.50;29
1500;0.50;30
1511;0.50;32
1521;0.50;34
1532;0.50;36
1544;0.50;36
1555;0.50;38
1566;0.69;41
1576;0.69;44
1588;0.69;44
1599;0.69;44
1610;0.69;48
1620;0.69;48
1632;0.69;51
1643;0.69;49
1654;0.69;49
1666;0.69;49
1676;0.69;52
1687;0.69;51
1698;0.69;54
1710;0.69;54
1722;0.69;56 
1733;0.69;53
1744;0.69;55
1756;0.69;54
1768;0.69;55
1779;0.69;51
1792;0.69;54
1803;0.69;52
1815;0.69;53
1826;0.69;51
1838;0.69;52
1849;0.69;50
1859;0.69;50
1870;0.69;50
1882;0.69;48
1893;0.69;47
1904;0.69;43
1914;0.69;44
1926;0.69;42
1937;0.69;39
1948;0.69;38
1958;0.69;35
1970;0.69;33
1981;0.69;32
1992;0.69;29 
2003;0.69;26
2014;0.69;25
2025;0.69;22
2036;0.69;20
2048;0.69;22
2058;0.50;22
2069;0.50;23
2080;0.50;23
2092;0.50;22
2103;0.50;22
2113;0.50;22
2124;0.50;22
2136;0.50;22
2147;0.50;22
2157;0.50;21
2168;0.50;22
2180;0.50;22
2191;0.50;23
2202;0.50;23
2212;0.50;22
2224;0.50;22
2235;0.50;23
2246;0.50;25
2256;0.50;25
2268;0.50;24
2279;0.50;26
2290;0.50;26
2301;0.50;28
2312;0.50;27
2323;0.50;32
2334;0.50;32
2345;0.50;33
2356;0.50;34
2367;0.50;34
2378;0.50;38
2390;0.50;36 
2401;0.50;39
2411;0.50;39
2422;0.50;40
2434;0.50;44
2445;0.50;45
2455;0.50;45
2466;0.50;48
2478;0.50;48
2489;0.50;50
2500;0.50;52
2511;0.50;53
2523;0.50;56
2535;0.50;58
2546;0.50;59
2558;0.69;62
2570;0.69;63
2582;0.69;66
2593;0.69;68
2606;0.69;71
2617;0.69;70
2628;0.69;76
2640;0.69;77
2652;0.69;76
2664;0.69;79
2675;0.69;80
2688;0.69;81
2699;0.69;83
2711;0.69;84
2722;0.69;87
2734;0.69;87
2746;0.69;85
2757;0.69;90
2769;0.69;90
2781;0.69;89
2793;0.69;91
2804;0.69;91
2817;0.69;90
2828;0.69;88
2839;0.69;89
2851;0.69;88
2863;0.69;88
2875;0.69;89
2886;0.69;86
2898;0.69;85
2910;0.69;88
2922;0.69;83
2933;0.69;84
2945;0.69;84
2957;0.69;81
2968;0.69;79
2980;0.69;77
2992;0.69;77
3004;0.69;78
3015;0.69;75
3027;0.69;74
3039;0.69;71
3050;0.69;69
3062;0.50;67
3074;0.50;66
3086;0.50;65
3097;0.50;60
3109;0.50;60
3121;0.50;62
3133;0.50;58
3144;0.50;55
3155;0.50;55
3168;0.50;52
3179;0.50;55
3191;0.50;52
3203;0.50;54
3214;0.50;52
3225;0.50;51
3236;0.50;50
3247;0.50;50
3258;0.50;50
3269;0.50;51
3280;0.50;48
3291;0.50;52
3302;0.50;51
3313;0.50;52
3324;0.50;50
3336;0.50;51
3346;0.50;53
3357;0.50;52
3368;0.50;53
3380;0.50;56
3392;0.50;54
3403;0.50;55
3416;0.50;58
3427;0.50;59
3439;0.50;62
3450;0.50;62
3462;0.50;64
3474;0.50;65
3485;0.50;64
3497;0.50;66
3509;0.50;66
3521;0.50;71
3532;0.50;72
3545;0.50;75
3556;0.50;77
3567;0.69;80
3579;0.69;82
3591;0.69;83
3603;0.69;86
