oscillation with 500ms/7ms timer interrupts, pwm fills 124 and 177, starting after 1s in pwm 220

millis;pwm fill factor;sensor distance in mm
1008;0.00;66
1020;0.69;59
1032;0.69;51
1044;0.69;45
1054;0.69;35
1065;0.49;28
1077;0.49;21
1088;0.49;20
1099;0.49;22
1110;0.49;23
1121;0.49;24
1132;0.49;24
1143;0.49;22
1154;0.49;23
1165;0.49;23
1176;0.49;22
1187;0.49;20
1199;0.49;21
1209;0.49;22
1220;0.49;21
1231;0.49;21 
1243;0.49;22
1253;0.49;24
1264;0.49;24
1275;0.49;24
1287;0.49;26
1298;0.49;23
1308;0.49;24
1319;0.49;24
1331;0.49;24
1342;0.49;24
1352;0.49;26
1363;0.49;24
1375;0.49;27
1386;0.49;27
1397;0.49;27
1408;0.49;30
1419;0.49;29
1430;0.49;32
1441;0.49;32
1452;0.49;34
1463;0.49;34
1474;0.49;35
1485;0.49;38
1497;0.49;38
1507;0.49;41
1518;0.49;43
1529;0.49;47
1541;0.49;49
1551;0.49;51
1562;0.69;50
1573;0.69;53
1585;0.69;57
1597;0.69;59
1608;0.69;60
1620;0.69;63
1632;0.69;63 
1644;0.69;69
1655;0.69;68
1668;0.69;73
1679;0.69;72
1690;0.69;78
1702;0.69;73
1714;0.69;75
1726;0.69;77
1737;0.69;83
1750;0.69;81
1761;0.69;81
1773;0.69;82
1784;0.69;82
1796;0.69;82
1808;0.69;82
1819;0.69;80
1831;0.69;81
1843;0.69;82
1855;0.69;79
1866;0.69;81
1879;0.69;79
1890;0.69;80
1901;0.69;78
1913;0.69;78
1925;0.69;77
1937;0.69;75
1948;0.69;76
1960;0.69;75
1972;0.69;71
1984;0.69;71
1995;0.69;67
2007;0.69;64
2019;0.69;66
2030;0.69;63
2042;0.69;62
2054;0.69;60 
2066;0.49;57
2077;0.49;57
2089;0.49;55
2101;0.49;53
2112;0.49;51
2123;0.49;47
2134;0.49;46
2145;0.49;42
2156;0.49;43
2167;0.49;39
2178;0.49;37
2189;0.49;36
2200;0.49;36
2211;0.49;35
2223;0.49;33
2233;0.49;31
2244;0.49;30
2255;0.49;31 
2267;0.49;31
2277;0.49;30
2288;0.49;30
2299;0.49;29
2311;0.49;30
2322;0.49;30
2332;0.49;29
2343;0.49;30
2355;0.49;31
2366;0.49;33
2376;0.49;34
2387;0.49;35
2399;0.49;36
2410;0.49;40
2421;0.49;41
2432;0.49;43
2443;0.49;42
2454;0.49;44
2465;0.49;48
2476;0.49;50
2487;0.49;49
2498;0.49;52
2509;0.49;56
2522;0.49;56
2533;0.49;60
2545;0.49;60
2556;0.49;62
2569;0.69;65
2580;0.69;67
2592;0.69;71
2604;0.69;72
2615;0.69;75
2627;0.69;79
2638;0.69;78
2651;0.69;82
2662;0.69;82
2674;0.69;84
2685;0.69;86
2698;0.69;90
2709;0.69;90
2720;0.69;93
2733;0.69;90
2744;0.69;93
2756;0.69;91
2767;0.69;90
2780;0.69;94
2791;0.69;94
2803;0.69;93
2814;0.69;92
2826;0.69;90
2838;0.69;89
2849;0.69;92
2862;0.69;91
2873;0.69;85 
2885;0.69;88
2896;0.69;84
2909;0.69;85
2920;0.69;80
2931;0.69;81
2944;0.69;80
2955;0.69;74
2967;0.69;75
2978;0.69;71
2991;0.69;71
3002;0.69;68
3014;0.69;65
3025;0.69;64
3037;0.69;62
3049;0.69;58
3060;0.49;56
3073;0.49;54
3084;0.49;50
3095;0.49;48
3106;0.49;46
3118;0.49;42
3128;0.49;40
3139;0.49;40
3150;0.49;37
3162;0.49;36
3172;0.49;32
3183;0.49;31
3194;0.49;28
3206;0.49;26
3217;0.49;26
3227;0.49;25
3238;0.49;25
3250;0.49;24
3261;0.49;23
3271;0.49;23
3282;0.49;23
3294;0.49;24
3305;0.49;26
3318;0.49;24
3329;0.49;25
3340;0.49;25
3351;0.49;27
3362;0.49;28
3373;0.49;30
3384;0.49;30
3395;0.49;31
3406;0.49;34
3418;0.49;38
3428;0.49;38
3439;0.49;41
3450;0.49;42
3462;0.49;46
3472;0.49;48
3483;0.49;48
3494;0.49;52
3506;0.49;52
3517;0.49;57
3528;0.49;58
3539;0.49;60
3552;0.49;62
3563;0.69;66
3575;0.69;68
3587;0.69;70
3599;0.69;74
3610;0.69;76
3622;0.69;80
3634;0.69;81
3645;0.69;84
3657;0.69;82
3668;0.69;86
3681;0.69;91
3692;0.69;93 
3704;0.69;96
3716;0.69;95
3728;0.69;94
3739;0.69;99
3750;0.69;101
3764;0.69;102
3775;0.69;101
3787;0.69;100
3800;0.69;102
3812;0.69;101
3824;0.69;100
3836;0.69;100
3849;0.69;98
3860;0.69;97
3872;0.69;99
3885;0.69;97
3896;0.69;95
3908;0.69;98
3919;0.69;94
3932;0.69;92
3943;0.69;92
3954;0.69;90
3966;0.69;89
3978;0.69;85
3990;0.69;85
4001;0.69;81
4014;0.69;79
4025;0.69;75
4037;0.69;74
4048;0.69;71
4060;0.49;70
4072;0.49;68
4083;0.49;62
4096;0.49;62
4107;0.49;57
4119;0.49;58
4130;0.49;55
4142;0.49;54
4153;0.49;52
4163;0.49;50
4174;0.49;47
4186;0.49;45
4197;0.49;45
4208;0.49;41
4218;0.49;41
4230;0.49;42
4241;0.49;41
4252;0.49;37
4262;0.49;37
4274;0.49;41
4285;0.49;39
4296;0.49;39
4307;0.49;40
4318;0.49;38
4329;0.49;40
4340;0.49;39 
4352;0.49;42
4362;0.49;40
4373;0.49;42
4384;0.49;45
4396;0.49;45
4407;0.49;47
4417;0.49;48
4428;0.49;48
4440;0.49;52
4451;0.49;55
4461;0.49;55
4473;0.49;57
4485;0.49;59
4497;0.49;61
4508;0.49;63
4520;0.49;66
4532;0.49;68
4544;0.49;71
4555;0.49;73
4567;0.69;74
4579;0.69;75
4590;0.69;80
4602;0.69;83
4614;0.69;84 
4626;0.69;87
4637;0.69;89
4649;0.69;92
4661;0.69;95
4672;0.69;97
4684;0.69;95
4696;0.69;96
4708;0.69;101
4719;0.69;100
4731;0.69;101
4744;0.69;103
4756;0.69;102
4768;0.69;102
4781;0.69;103
4794;0.69;102
4806;0.69;104
4818;0.69;102
4831;0.69;103
4843;0.69;102
4855;0.69;101
4868;0.69;100
4881;0.69;99
4892;0.69;98
4904;0.69;98
4916;0.69;96
4927;0.69;92
4939;0.69;91
4951;0.69;93
4963;0.69;89
4974;0.69;88 
4986;0.69;86
4998;0.69;84
5010;0.69;81
5021;0.69;79
5032;0.69;72
5045;0.69;74
5056;0.69;71
5068;0.49;68
5080;0.49;67
5092;0.49;65
5103;0.49;60
5115;0.49;59
5127;0.49;58
5138;0.49;53
5150;0.49;53
5161;0.49;51
5172;0.49;49
5183;0.49;48
5194;0.49;44
5206;0.49;45
5217;0.49;42
5227;0.49;40
5238;0.49;39
5250;0.49;39 
5261;0.49;38
5271;0.49;36
5282;0.49;36
5294;0.49;38
5305;0.49;36
5316;0.49;37
5326;0.49;36
5338;0.49;35
5349;0.49;39
5360;0.49;40
5370;0.49;40
5382;0.49;41
5393;0.49;41
5404;0.49;42
5415;0.49;43
5426;0.49;46
5437;0.49;46
5448;0.49;49
5459;0.49;50
5470;0.49;51
5481;0.49;55
5492;0.49;56
5504;0.49;58
5515;0.49;60 
5527;0.49;60
5538;0.49;62
5551;0.49;65
5562;0.69;68
5573;0.69;67
5585;0.69;71
5597;0.69;73
5609;0.69;75
5620;0.69;81
5633;0.69;78
5644;0.69;81
5656;0.69;85
5667;0.69;86
5679;0.69;90
5691;0.69;89
5702;0.69;91
