millis;pwm fill factor;sensor distance in mm
1008;0.00;63
1020;0.69;56
1032;0.69;48
1043;0.69;40
1054;0.69;32
1065;0.53;24
1076;0.53;19
1087;0.53;21
1098;0.53;22
1110;0.53;21
1121;0.53;21
1131;0.53;22
1142;0.53;20
1154;0.53;21
1165;0.53;20
1175;0.53;21
1186;0.53;21
1198;0.53;19
1209;0.53;20 
1220;0.53;19
1230;0.53;19
1242;0.53;22
1253;0.53;22
1264;0.53;21
1274;0.53;23
1286;0.53;23
1297;0.53;24
1308;0.53;23
1319;0.53;23
1330;0.53;23
1341;0.53;24
1352;0.53;25
1363;0.53;28
1374;0.53;25
1385;0.53;28
1396;0.53;28
1408;0.53;30
1419;0.53;31
1429;0.53;33
1440;0.53;33
1452;0.53;36
1463;0.53;36
1473;0.53;39
1484;0.53;38
1496;0.53;40
1507;0.53;41
1518;0.53;45
1528;0.53;48
1540;0.53;46
1551;0.53;49
1562;0.69;50
1572;0.69;50
1584;0.69;55
1596;0.69;55
1607;0.69;57
1619;0.69;58
1631;0.69;60
1644;0.69;58
1656;0.69;60
1668;0.69;61
1680;0.69;66
1691;0.69;65
1703;0.69;65
1715;0.69;64
1727;0.69;66
1738;0.69;66
1750;0.69;68
1762;0.69;65
1773;0.69;64
1785;0.69;66
1797;0.69;65
1809;0.69;65
1820;0.69;66
1832;0.69;64
1844;0.69;64
1855;0.69;62
1867;0.69;62
1879;0.69;58
1891;0.69;56
1902;0.69;55
1914;0.69;56
1926;0.69;54
1937;0.69;52
1948;0.69;52
1958;0.69;47
1970;0.69;45
1981;0.69;43
1992;0.69;42
2003;0.69;38
2014;0.69;35
2025;0.69;34
2036;0.69;31
2048;0.69;30
2058;0.53;28
2069;0.53;24
2080;0.53;19
2092;0.53;21
2103;0.53;19
2113;0.53;22
2124;0.53;21
2136;0.53;23
2147;0.53;23
2157;0.53;21
2168;0.53;21
2180;0.53;21
2191;0.53;22
2202;0.53;22
2212;0.53;22
2224;0.53;23
2235;0.53;20
2246;0.53;23
2256;0.53;23
2268;0.53;24
2279;0.53;25
2290;0.53;22 
2301;0.53;26
2312;0.53;24
2323;0.53;24
2334;0.53;27
2345;0.53;26
2356;0.53;28
2367;0.53;30
2378;0.53;29
2390;0.53;30
2401;0.53;33
2411;0.53;35
2422;0.53;35
2434;0.53;37
2445;0.53;40
2455;0.53;41
2466;0.53;45
2478;0.53;43
2489;0.53;47
2500;0.53;49
2510;0.53;50
2522;0.53;53
2533;0.53;53
2544;0.53;55
2556;0.53;53
2568;0.69;59
2580;0.69;59
2591;0.69;60
2604;0.69;63
2615;0.69;66
2626;0.69;66
2638;0.69;67
2650;0.69;69
2662;0.69;72
2673;0.69;73
2685;0.69;75
2697;0.69;73
2709;0.69;72
2720;0.69;75
2732;0.69;75
2744;0.69;77
2755;0.69;76
2767;0.69;77
2779;0.69;77
2791;0.69;75
2802;0.69;75
2814;0.69;72
2826;0.69;73
2837;0.69;71
2849;0.69;72
2861;0.69;70
2873;0.69;70
2884;0.69;65
2896;0.69;64
2908;0.69;63 
2920;0.69;61
2931;0.69;58
2942;0.69;56
2955;0.69;55
2966;0.69;53
2978;0.69;51 
2990;0.69;48
3000;0.69;45
3011;0.69;44
3022;0.69;39
3034;0.69;38
3044;0.69;35
3055;0.69;32
3066;0.53;28
3078;0.53;26
3089;0.53;23
3099;0.53;21
3110;0.53;22
3122;0.53;23
3133;0.53;22
3143;0.53;24
3154;0.53;25
3166;0.53;25
3177;0.53;23
3188;0.53;24
3198;0.53;26
3210;0.53;26
3221;0.53;25
3232;0.53;25
3243;0.53;27
3254;0.53;24
3265;0.53;26
3276;0.53;27
3288;0.53;26
3298;0.53;28
3309;0.53;27
3320;0.53;30
3332;0.53;30
3342;0.53;29
3353;0.53;28
3364;0.53;32
3376;0.53;34 
3387;0.53;36
3397;0.53;36
3408;0.53;39
3420;0.53;38
3431;0.53;41
3441;0.53;44
3452;0.53;45
3464;0.53;46
3475;0.53;47
3486;0.53;48
3496;0.53;50
3508;0.53;54
3519;0.53;53
3530;0.53;55
3543;0.53;57
3554;0.53;57
3566;0.69;59
3577;0.69;64
3590;0.69;61
3601;0.69;65
3612;0.69;67
3624;0.69;69
3636;0.69;68
